,avg_rating,opening_ply,MA
0,827,3.0,3.0
1,877,3.0,3.0
2,890,2.0,2.6666666666666665
3,898,3.0,2.75
4,907,3.0,2.8
5,912,2.0,2.6666666666666665
6,916,5.0,3.0
7,917,2.0,2.875
8,938,3.0,2.888888888888889
9,951,3.0,2.9
10,953,3.0,2.909090909090909
11,954,5.0,3.0833333333333335
12,957,5.0,3.230769230769231
13,961,2.0,3.142857142857143
14,963,3.0,3.1333333333333333
15,967,3.0,3.125
16,968,4.0,3.176470588235294
17,969,3.0,3.1666666666666665
18,971,2.0,3.1052631578947367
19,976,3.0,3.1
20,977,2.0,3.0476190476190474
21,978,5.666666666666668,3.166666666666667
22,982,3.0,3.1594202898550727
23,983,3.5,3.173611111111111
24,985,3.5,3.186666666666667
25,986,2.0,3.1410256410256414
26,989,2.0,3.0987654320987654
27,992,3.0,3.0952380952380953
28,996,2.5,3.074712643678161
29,999,4.0,3.1055555555555556
30,1000,3.0,3.1055555555555556
31,1004,1.6666666666666667,3.0611111111111113
32,1006,4.0,3.127777777777778
33,1007,4.333333333333333,3.1722222222222225
34,1008,3.0,3.1722222222222225
35,1010,3.5,3.2222222222222223
36,1011,2.0,3.1222222222222222
37,1013,4.0,3.188888888888889
38,1014,3.0,3.188888888888889
39,1016,4.25,3.2305555555555556
40,1017,2.0,3.1972222222222224
41,1019,1.0,3.063888888888889
42,1020,2.5,2.9805555555555556
43,1021,3.0,3.013888888888889
44,1022,2.0,2.9805555555555556
45,1023,3.5,2.9972222222222222
46,1027,2.5,2.9472222222222224
47,1028,2.0,2.913888888888889
48,1029,4.0,2.9805555555555556
49,1033,3.0,2.9805555555555556
50,1034,4.0,3.0472222222222225
51,1035,3.0,2.9583333333333335
52,1036,2.0,2.925
53,1037,4.333333333333333,2.9527777777777775
54,1038,2.6666666666666665,2.925
55,1040,4.0,2.9916666666666667
56,1042,4.0,3.058333333333333
57,1044,4.5,3.1083333333333334
58,1045,1.5,3.075
59,1047,4.666666666666667,3.0972222222222223
60,1048,3.0,3.0972222222222223
61,1051,3.0,3.1416666666666666
62,1054,4.0,3.1416666666666666
63,1055,4.0,3.1305555555555555
64,1056,4.666666666666667,3.1861111111111113
65,1057,1.0,3.1027777777777783
66,1059,3.5,3.152777777777778
67,1060,3.5,3.1361111111111115
68,1062,3.2,3.1427777777777783
69,1063,4.0,3.134444444444445
70,1064,3.5,3.184444444444445
71,1065,2.0,3.217777777777778
72,1066,4.0,3.2677777777777783
73,1067,5.5,3.3511111111111114
74,1068,4.0,3.4177777777777782
75,1069,4.0,3.434444444444445
76,1070,5.0,3.5177777777777783
77,1071,2.6,3.537777777777778
78,1072,4.0,3.537777777777778
79,1073,2.0,3.5044444444444447
80,1074,4.0,3.5044444444444447
81,1075,3.8,3.531111111111111
82,1076,2.0,3.531111111111111
83,1077,3.0,3.486666666666667
84,1078,3.75,3.522777777777778
85,1079,2.5,3.472777777777778
86,1080,3.333333333333333,3.4505555555555554
87,1081,3.0,3.4005555555555556
88,1082,4.0,3.483888888888889
89,1083,3.0,3.4283333333333332
90,1084,3.0,3.4283333333333332
91,1085,2.333333333333333,3.4061111111111106
92,1086,3.333333333333333,3.3838888888888885
93,1087,4.0,3.3838888888888885
94,1088,3.0,3.3283333333333327
95,1089,5.25,3.4699999999999993
96,1090,5.0,3.519999999999999
97,1091,2.0,3.4699999999999993
98,1092,5.0,3.5299999999999994
99,1093,3.0,3.4966666666666657
100,1094,2.5,3.4633333333333325
101,1096,2.5,3.479999999999999
102,1097,4.0,3.479999999999999
103,1098,5.5,3.479999999999999
104,1099,5.333333333333333,3.5244444444444434
105,1100,4.0,3.5244444444444434
106,1101,4.25,3.4994444444444435
107,1102,3.0,3.512777777777777
108,1103,6.0,3.5794444444444435
109,1104,1.75,3.5711111111111102
110,1105,3.0,3.537777777777777
111,1106,3.6666666666666665,3.5333333333333328
112,1107,3.375,3.579166666666666
113,1108,6.0,3.6791666666666663
114,1109,3.5,3.670833333333333
115,1110,4.428571428571429,3.735119047619047
116,1111,3.1666666666666665,3.729563492063492
117,1112,3.5,3.7462301587301585
118,1113,2.5,3.6962301587301587
119,1114,5.0,3.762896825396825
120,1115,2.6,3.749563492063492
121,1116,3.6666666666666665,3.7940079365079367
122,1117,4.727272727272728,3.840472582972583
123,1118,3.0,3.80713924963925
124,1119,3.4,3.8204725829725836
125,1120,4.714285714285714,3.8026154401154404
126,1121,3.25,3.7442821067821073
127,1122,4.0,3.8109487734487737
128,1123,3.375,3.756782106782107
129,1124,3.25,3.7651154401154403
130,1125,2.6666666666666665,3.7706709956709963
131,1126,3.0,3.787337662337663
132,1127,3.5,3.7706709956709963
133,1128,3.571428571428572,3.706385281385282
134,1129,3.0,3.6286075036075043
135,1130,2.5,3.5786075036075045
136,1131,2.5,3.520274170274171
137,1132,2.6,3.5069408369408372
138,1133,3.2,3.413607503607504
139,1134,3.2,3.4619408369408378
140,1135,3.0,3.4619408369408378
141,1136,5.0,3.506385281385282
142,1137,2.1666666666666665,3.466107503607504
143,1138,1.0,3.2994408369408377
144,1139,2.7777777777777777,3.275366762866763
145,1140,4.25,3.269414381914382
146,1141,3.0,3.2638588263588266
147,1143,2.0,3.2138588263588264
148,1144,5.0,3.29719215969216
149,1145,3.5,3.24719215969216
150,1146,6.5,3.37719215969216
151,1147,3.8,3.381636604136604
152,1148,4.166666666666667,3.3629497354497357
153,1149,5.0,3.429616402116402
154,1150,4.4,3.4629497354497354
155,1151,3.0,3.4058068783068784
156,1152,4.333333333333333,3.4419179894179894
157,1153,2.8,3.4019179894179894
158,1154,2.8181818181818183,3.3833573833573833
159,1155,3.4285714285714284,3.3893097643097643
160,1156,2.5,3.3837542087542087
161,1157,5.0,3.450420875420875
162,1158,3.1666666666666665,3.439309764309764
163,1159,3.75,3.4452621452621455
164,1160,3.333333333333333,3.456373256373256
165,1161,2.75,3.4647065897065894
166,1162,2.0,3.448039923039923
167,1163,2.0,3.428039923039923
168,1164,3.7142857142857135,3.44518278018278
169,1165,3.8,3.4651827801827797
170,1166,2.0,3.4318494468494465
171,1167,3.333333333333333,3.3762938912938907
172,1168,3.6,3.424071669071668
173,1169,2.833333333333333,3.4851827801827793
174,1170,3.6666666666666665,3.514812409812409
175,1171,3.6,3.493145743145742
176,1172,3.0,3.493145743145742
177,1173,2.6666666666666665,3.5153679653679646
178,1174,4.0,3.4820346320346314
179,1175,4.166666666666667,3.5042568542568535
180,1176,2.1666666666666665,3.359812409812409
181,1177,3.5,3.3498124098124094
182,1178,2.4,3.2909235209235206
183,1179,4.2,3.264256854256854
184,1180,4.2,3.2575901875901874
185,1181,4.111111111111111,3.2946272246272246
186,1182,4.0,3.2835161135161135
187,1183,4.375,3.3360161135161137
188,1184,3.875,3.3712433862433864
189,1185,4.0,3.3902910052910054
190,1186,2.571428571428572,3.3926719576719577
191,1187,5.0,3.3926719576719577
192,1188,3.8571428571428568,3.4156878306878307
193,1189,3.333333333333333,3.401798941798942
194,1190,4.0,3.424021164021164
195,1191,5.0,3.499021164021164
196,1192,3.0,3.5323544973544974
197,1193,3.0,3.5656878306878306
198,1194,3.25,3.5502116402116406
199,1195,3.5,3.5402116402116404
